6G79 5HT1B S Human 5-Hydroxytryptamine GNAO_HUMAN
6WHA 5HT2A A Human 5-Hydroxytryptamine GNAQ_HUMAN
6D9H AA1R R Human Adenosine GNAI2_HUMAN
6GDG AA2AR A Human Adenosine GNAS2_HUMAN
5G53 AA2AR A Human Adenosine GNAS2_HUMAN
6KPG CNR1 R Human Cannabinoid GNAI1_HUMAN
6N4B CNR1 R Human Cannabinoid GNAI1_HUMAN
6PT0 CNR2 R Human Cannabinoid GNAI1_HUMAN
6KPF CNR2 R Human Cannabinoid GNAI1_HUMAN
6WWZ CCR6 R Human Chemokine GNAO_HUMAN
6LFO CXCR2 R Human Chemokine GNAI1_HUMAN
6LFM CXCR2 R Human Chemokine GNAI1_HUMAN
6VMS DRD2 R Human Dopamine GNAI1_HUMAN
6OMM FPR2 R Human Formylpeptide GNAI1_HUMAN
7CFN GPBAR R Human Bile_acid GNAS2_HUMAN
7CFM GPBAR R Human Bile_acid GNAS2_HUMAN
7BW0 GPBAR R Human Bile_acid GNAS2_HUMAN
6OIJ ACM1 R Human Acetylcholine_muscarinic GNA11_HUMAN
6U1N ACM2 R Human Acetylcholine_muscarinic arrestin
6OIK ACM2 R Human Acetylcholine_muscarinic GNAO_HUMAN
6UP7 NTR1 R Human Neurotensin arrestin
6PWC NTR1 R Human Neurotensin arrestin
6OSA NTR1 R Human Neurotensin GNAI1_HUMAN
6OS9 NTR1 R Human Neurotensin GNAI1_HUMAN
6OYA OPSD R Bovine Opsins GNAT1_BOVIN
6OY9 OPSD R Bovine Opsins GNAT1_BOVIN
6QNO OPSD R Bovine Opsins GNAI1_HUMAN
4PXF OPSD A Bovine Opsins s-arrestin
6CMO OPSD R Human Opsins GNAI1_HUMAN
5W0P OPSD D Human Opsins s-arrestin
5DGY OPSD A Human Opsins s-arrestin
4ZWJ OPSD A Human Opsins s-arrestin
6K41 ADA2B R Human Adrenoceptors GNAO_HUMAN
6K42 ADA2B R Human Adrenoceptors GNAI1_HUMAN
7JJO ADRB1 R Wild_turkey Adrenoceptors GNAS2_BOVIN
6TKO ADRB1 A Wild_turkey Adrenoceptors arrestin
7BZ2 ADRB2 R Human Adrenoceptors GNAS2_HUMAN
6NI3 ADRB2 R Human Adrenoceptors GNAS2_HUMAN
6E67 ADRB2 B Human Adrenoceptors GNAS2_BOVIN
3SN6 ADRB2 R Human Adrenoceptors GNAS2_BOVIN
7DHI ADRB2 R Human Adrenoceptors GNAS2_HUMAN
7DHR ADRB2 R Human Adrenoceptors GNAS2_HUMAN
6DDF OPRM R Mouse Opioid GNAI1_HUMAN
6DDE OPRM R Mouse Opioid GNAI1_HUMAN
