RECEPTOR	nan	nan	nan	nan	nan	STRUCTURE	nan	nan	nan	nan	nan	nan	SIGNAL PROTEIN	nan	nan	nan	AUXILIARY PROTEIN	nan	STRUCTURE LIGAND	nan	nan	ENDOGENOUS LIGAND	nan	SODIUM ION SITE	nan	REFERENCE	nan	nan	ANNOTATED
nan	UniProt	IUPHAR	Receptor family	Class	Species	Method	PDB	Refined	Resolution	Preferred	State	Degree	Family	Subtype	Note	% of Seq	Fusion	Antibodies	Name	Type	Function	Name	Type	D2x50-S3x39	Sodium in structure	Last author	Reference	PDB Date	nan
1	5HT1B	5-HT1B	5-Hydroxytryptamine	A (Rhodopsin)	Human	cryo-EM	6G79	-	3.8	S	Active	100	Gi/o	Î±o	-	59	-	-	Donitriptan pubchem	small molecule	Agonist	5-hydroxytryptamine,...	small molecule	Yes	No	Tate CG	10.1038/S41586-018-0241-9 	2018-06-20 00:00:00	Yes
2	5HT2A	5-HT2A	5-Hydroxytryptamine	A (Rhodopsin)	Human	cryo-EM	6WHA	6WHA_refined	3.4	A	Active	100	Gq/11	Î±q	Gq-Gi2 chimera	59	BRIL	scFv16	25-CN-NBOH pubchem	small molecule	Agonist	5-hydroxytryptamine,...	small molecule	Yes	No	Roth BL	10.1016/J.CELL.2020.08.024 	2020-09-23 00:00:00	Yes
3	AA1R	A1	Adenosine	A (Rhodopsin)	Human	cryo-EM	6D9H	6D9H_refined	3.6	R	Active	100	Gi/o	Î±i2	-	59	-	-	adenosine pubchem	small molecule	Agonist	adenosine	small molecule	Yes	No	Christopoulos A	10.1038/S41586-018-0236-6 	2018-06-20 00:00:00	Yes
4	AA2AR	A2A	Adenosine	A (Rhodopsin)	Human	cryo-EM	6GDG	6GDG_refined	4.1	A	Active	100	Gs	Î±s	-	57	TrxA	Nanobody	NECA pubchem	small molecule	Agonist	adenosine	small molecule	Yes	No	Tate CG	10.7554/ELIFE.35946 	2018-05-16 00:00:00	Yes
5	AA2AR	A2A	Adenosine	A (Rhodopsin)	Human	X-ray	5G53	5G53_refined	3.4	A	Active	100	Gs	Î±s	Engineered G protein	50	-	-	NECA pubchem	small molecule	Agonist	adenosine	small molecule	Yes	No	Tate CG	10.1038/NATURE18966 	2016-08-03 00:00:00	Yes
6	CNR1	CB1	Cannabinoid	A (Rhodopsin)	Human	cryo-EM	6KPG	6KPG_refined	3	R	Active	100	Gi/o	Î±i1	-	64	-	scFv16	(6Ar,9R,10aR)-9-(hyd... pubchem	small molecule	Agonist	2-arachidonoylglycer...	small molecule	Yes	No	Liu Z	10.1016/J.CELL.2020.01.008 	2020-02-12 00:00:00	Yes
7	CNR1	CB1	Cannabinoid	A (Rhodopsin)	Human	cryo-EM	6N4B	6N4B_refined	3	R	Active	100	Gi/o	Î±i1	-	62	-	scFv16	Fub-mdmb pubchem	small molecule	Agonist	2-arachidonoylglycer...	small molecule	Yes	No	Skiniotis G	10.1016/J.CELL.2018.11.040 	2019-01-30 00:00:00	Yes
8	CNR2	CB2	Cannabinoid	A (Rhodopsin)	Human	cryo-EM	6PT0	-	3.2	R	Active	100	Gi/o	Î±i1	-	100	-	scFv16	Win 55212-2 pubchem chembl_ligand	small molecule	Agonist	2-arachidonoylglycer...	small molecule	Yes	No	Xie X	10.1016/J.CELL.2020.01.007 	2020-02-12 00:00:00	Yes
9	CNR2	CB2	Cannabinoid	A (Rhodopsin)	Human	cryo-EM	6KPF	-	2.9	R	Active	100	Gi/o	Î±i1	-	62	-	scFv16	(6Ar,9R,10aR)-9-(hyd... pubchem	small molecule	Agonist	2-arachidonoylglycer...	small molecule	Yes	No	Liu Z	10.1016/J.CELL.2020.01.008 	2020-02-12 00:00:00	Yes
10	CCR6	CCR6	Chemokine	A (Rhodopsin)	Human	cryo-EM	6WWZ	6WWZ_refined	3.3	R	Active	100	Gi/o	Î±o	-	59	-	scFv16	CCL20	protein	Agonist	CCL20, beta-defensin...	protein	No	No	Wu H	10.1038/S41467-020-16820-6 	2020-06-24 00:00:00	Yes
11	CXCR2	CXCR2	Chemokine	A (Rhodopsin)	Human	cryo-EM	6LFO	6LFO_refined	3.4	R	Active	100	Gi/o	Î±i1	-	65	-	scFv16	Interleukin-8 pubchem	protein	Agonist	CXCL6, CXCL8, CXCL1,...	protein	No	No	Liu Z	10.1038/S41586-020-2492-5 	2020-09-02 00:00:00	Yes
12	CXCR2	CXCR2	Chemokine	A (Rhodopsin)	Human	cryo-EM	6LFM	6LFM_refined	3.5	R	Active	100	Gi/o	Î±i1	-	65	-	scFv16	Interleukin-8 pubchem	protein	Agonist	CXCL6, CXCL8, CXCL1,...	protein	No	No	Liu Z	10.1038/S41586-020-2492-5 	2020-09-02 00:00:00	Yes
13	DRD2	D2	Dopamine	A (Rhodopsin)	Human	cryo-EM	6VMS	6VMS_refined	3.8	R	Active	100	Gi/o	Î±i1	-	64	T4-Lysozyme	scFv16	Bromocriptine pubchem	small molecule	Agonist	dopamine	small molecule	Yes	No	Rosenbaum DM	10.1038/S41586-020-2379-5 	2020-06-17 00:00:00	Yes
14	FPR2	FPR2/ALX	Formylpeptide	A (Rhodopsin)	Human	cryo-EM	6OMM	6OMM_refined	3.2	R	Active	100	Gi/o	Î±i1	-	61	-	-	WKYMVX	peptide	Agonist	annexin I, humanin, ...	protein	Yes	No	Zhang C	10.1038/S41467-020-14728-9 	2020-02-26 00:00:00	Yes
15	GPBAR	GPBA	Bile_acid	A (Rhodopsin)	Human	cryo-EM	7CFN	7CFN_refined	3	R	Active	100	Gs	Î±s	-	59	-	Nanobody-35	INT-777 pubchem	small molecule	Agonist	chenodeoxycholic aci...	small molecule	No	No	Zhang Y	10.1038/S41586-020-2569-1 	2020-09-09 00:00:00	Yes
nan	GPBAR	GPBA	Bile_acid	A (Rhodopsin)	Human	cryo-EM	7CFM	7CFM_refined	3	R	Active	100	Gs	Î±s	-	58	-	Nanobody-35	P395 pubchem chembl_ligand	none	Agonist	chenodeoxycholic aci...	small molecule	No	No	Zhang Y	10.1038/S41586-020-2569-1 	2020-09-09 00:00:00	Yes
nan	GPBAR	GPBA	Bile_acid	A (Rhodopsin)	Human	cryo-EM	7BW0	7BW0_refined	3.9	R	Active	100	Gs	Î±s	-	56	BRIL	Nanobody-35	-	-	-	chenodeoxycholic aci...	small molecule	No	No	Ren R	10.1038/S41392-020-00262-Z 	2020-09-02 00:00:00	Yes
nan	GPR52	GPR52	A_orphans	A (Rhodopsin)	Human	cryo-EM	6LI3	6LI3_refined	3.3	R	Active	100	Gs	Î±s	Mini-Gs	61	-	Nanobody-35	Apo (no ligand)	none	Apo (no ligand)	-	-	Yes	No	Xu F	10.1038/S41586-020-2019-0 	2020-02-26 00:00:00	Yes
nan	ACM1	M1	Acetylcholine_muscarinic	A (Rhodopsin)	Human	cryo-EM	6OIJ	6OIJ_refined	3.3	R	Active	100	Gq/11	Î±11	-	63	-	Antibody fragment	Iperoxo pubchem	small molecule	Agonist	acetylcholine	small molecule	Yes	No	Kobilka BK	10.1126/SCIENCE.AAW5188 	2019-05-08 00:00:00	Yes
nan	ACM2	M2	Acetylcholine_muscarinic	A (Rhodopsin)	Human	cryo-EM	6U1N	6U1N_refined	4	R	Active	93	Beta	Beta-arrestin-1	-	96	-	Fab30 light chain	2CU pubchem	small molecule	Agonist	acetylcholine	small molecule	Yes	No	Skiniotis G	10.1038/S41586-020-1954-0 	2020-02-26 00:00:00	Yes
